subtissue,renamed_subtissue
Adipose_Subcutaneous,Adipose - Subcutaneous
Adipose_Visceral_Omentum,Adipose - Visceral (Omentum)
Adrenal_Gland,Adrenal Gland
Artery_Aorta,Artery - Aorta
Artery_Coronary,Artery - Coronary
Artery_Tibial,Artery - Tibial
Brain_Amygdala,Brain - Amygdala
Brain_Anterior_cingulate_cortex_BA24,Brain - Anterior cingulate cortex (BA24)
Brain_Caudate_basal_ganglia,Brain - Caudate (basal ganglia)
Brain_Cerebellar_Hemisphere,Brain - Cerebellar Hemisphere
Brain_Cerebellum,Brain - Cerebellum
Brain_Cortex,Brain - Cortex
Brain_Frontal_Cortex_BA9,Brain - Frontal Cortex (BA9)
Brain_Hippocampus,Brain - Hippocampus
Brain_Hypothalamus,Brain - Hypothalamus
Brain_Nucleus_accumbens_basal_ganglia,Brain - Nucleus accumbens (basal ganglia)
Brain_Putamen_basal_ganglia,Brain - Putamen (basal ganglia)
Brain_Spinal_cord_cervical_c_1,Brain - Spinal cord (cervical c-1)
Brain_Substantia_nigra,Brain - Substantia nigra
Breast_Mammary_Tissue,Breast - Mammary Tissue
Cells_Cultured_fibroblasts,Cells - Cultured fibroblasts
Cells_EBV_transformed_lymphocytes,Cells - EBV-transformed lymphocytes
Cells_Transformed_fibroblasts,Cells - Cultured fibroblasts
Colon_Sigmoid,Colon - Sigmoid
Colon_Transverse,Colon - Transverse
Esophagus_Gastroesophageal_Junction,Esophagus - Gastroesophageal Junction
Esophagus_Mucosa,Esophagus - Mucosa
Esophagus_Muscularis,Esophagus - Muscularis
Heart_Atrial_Appendage,Heart - Atrial Appendage
Heart_Left_Ventricle,Heart - Left Ventricle
Kidney_Cortex,Kidney - Cortex
Liver,Liver
Lung,Lung
Minor_Salivary_Gland,Minor Salivary Gland
Muscle_Skeletal,Muscle - Skeletal
Nerve_Tibial,Nerve - Tibial
Ovary,Ovary
Pancreas,Pancreas
Pituitary,Pituitary
Prostate,Prostate
Skin_Not_Sun_Exposed_Suprapubic,Skin - Not Sun Exposed (Suprapubic)
Skin_Sun_Exposed_Lower_leg,Skin - Sun Exposed (Lower leg)
Small_Intestine_Terminal_Ileum,Small Intestine - Terminal Ileum
Spleen,Spleen
Stomach,Stomach
Testis,Testis
Thyroid,Thyroid
Uterus,Uterus
Vagina,Vagina
Whole_Blood,Whole Blood
